att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,class
2.758578,1.312333,0.522943,0.465239,2.775221,-0.054767,-0.68939,-0.004763,-0.273293,0.332714,1.430582,0.313206,0.564226,0.871487,3.707399,5.895635,4.283272,5.007159,1.306023,0.952398,2.487977,1
-0.507654,1.421677,0.12877,0.533909,1.236013,-0.138692,0.193464,-0.284839,1.079869,2.225347,2.404497,3.749521,2.659578,4.099511,1.842401,3.059954,3.124137,2.433042,0.499906,1.220395,2.355566,0
0.435782,1.054121,0.411902,0.087971,0.304213,0.736213,-0.806478,-0.193483,-0.462049,0.013714,1.610264,2.525844,5.166709,3.555983,2.808128,4.150979,2.206758,1.131285,-0.369496,0.488391,1.786453,0
0.532723,2.128181,-0.34319,-0.132379,2.706133,-0.072712,0.329415,0.621435,0.458269,1.109961,2.884158,5.048637,5.094942,6.960356,2.848411,3.76278,2.59714,0.03738,1.776588,2.136357,-1.013246,1
3.399323,3.402666,2.325817,0.149042,2.445566,0.050905,-0.213767,0.056761,-0.480819,0.949012,1.717963,1.966045,1.079473,3.315854,3.21282,3.453491,1.82159,1.205492,0.839923,2.918103,3.258474,0
1.393229,2.008615,1.808709,-0.585519,1.874339,1.507822,1.603099,-0.039114,-0.018415,1.081079,0.431011,0.936038,1.530804,1.65686,2.53968,3.419354,2.313963,4.925201,0.377296,1.745398,1.841611,1
2.137637,3.560362,1.097948,1.203337,4.791527,-1.630135,0.18962,-0.726221,1.136175,0.362305,-0.883199,-1.569262,1.452419,0.625811,1.256433,3.894036,4.251813,5.744871,0.66904,3.290306,5.1942,2
1.995502,1.539894,-1.105453,-0.491214,4.134972,1.191373,0.094155,-0.46402,0.960195,0.87481,-0.221225,1.347224,0.975596,5.031459,3.042691,4.072787,5.141273,4.297675,0.635892,2.736693,1.687798,1
-1.47422,0.246351,-0.360962,0.809055,1.664977,-0.177306,1.306508,1.350229,1.01925,1.878462,0.155301,3.894714,4.377771,6.704211,4.106528,4.090692,3.976331,3.490875,-0.257923,0.936447,-0.315632,1
0.720337,-1.21996,-0.998139,0.426719,4.049698,-0.886795,0.948951,-0.43188,0.973255,2.286977,1.591132,2.318514,3.077338,4.683417,4.795053,4.034385,4.387706,4.633163,-1.764498,0.788983,3.488389,1
1.117087,2.968208,1.304989,0.978388,3.160578,1.581537,-0.47643,-1.035531,-0.331333,2.622508,1.721256,1.642951,3.796399,4.139451,1.563708,2.832058,3.235955,2.864915,2.452032,2.425914,2.119125,0
2.117673,-0.101256,2.428331,1.389723,2.011198,0.769886,-0.29112,1.535389,2.06998,1.728831,2.107631,2.183336,2.926244,4.362055,2.686015,2.860243,1.802782,0.958464,1.487278,1.63601,2.437252,0
3.944404,3.380503,1.647011,1.673704,2.949474,0.312469,1.053028,-0.437564,0.772807,0.423159,0.536117,-0.3379,-0.321446,-0.016501,2.496139,2.245886,3.166539,3.66789,0.087476,2.546043,3.6151,2
2.601979,1.45578,-0.761051,0.539053,2.336948,1.369407,-1.386339,-0.190219,1.26281,2.643483,2.356334,3.338712,2.944528,4.0535,3.962971,2.420063,2.27758,1.013987,0.909581,1.826613,1.586765,0
6.681774,3.978042,5.050856,3.965188,3.397253,2.302847,0.450663,0.527487,-0.542026,0.822733,0.59355,-0.613773,1.378909,0.989563,-0.715261,0.373054,1.319383,1.942696,1.592838,3.812526,3.770349,0
2.029466,0.128976,0.254033,0.393176,1.87447,-1.460207,-0.993911,-0.432108,0.716543,0.514938,1.320226,1.967972,2.025591,5.238634,4.341013,4.451012,4.251665,3.372053,0.703519,1.568453,2.331926,1
-0.53,-0.573472,-0.41293,0.656379,5.15406,1.080204,-0.695322,1.721178,0.068372,0.922995,0.129491,0.752422,1.648193,1.269403,2.780324,6.23868,3.230242,7.919675,0.98041,2.489514,2.450728,1
1.772582,1.525119,0.930051,0.834044,2.749461,-0.553781,0.141618,-0.129535,1.335921,0.018324,-0.737664,1.668895,3.423309,4.179755,3.331195,3.900894,3.518371,6.567379,0.435803,2.307215,3.235036,1
3.371944,2.909415,3.224509,1.351115,2.961862,-0.765205,1.068717,-0.118923,-0.249701,0.700196,1.813268,0.651703,3.822746,2.394848,1.096163,1.694688,1.501649,3.711922,0.804207,2.633103,3.461512,0
3.825058,2.962411,2.168383,1.18436,5.666241,-0.646421,0.94578,-0.571019,0.268489,-0.540013,1.087009,-0.888505,-1.210821,-0.25091,1.818939,2.271526,2.164113,3.205924,0.327752,4.561465,4.331402,2
4.641668,5.315161,3.917444,1.155849,4.845826,0.995257,-0.465769,-0.284782,1.596847,-0.090315,-0.63333,-1.068459,-0.656956,-0.094672,-0.354088,-0.719214,2.302341,2.924944,1.068718,2.694436,4.579807,2
2.439157,1.204827,1.298086,1.560056,2.391783,1.910349,-0.125475,-0.658204,2.349006,1.228842,0.348276,1.583048,3.103453,2.031098,3.283653,0.312389,2.412892,1.486273,0.627763,1.135791,3.020419,0
1.479931,1.148558,-2.073516,1.799983,1.088732,0.712784,0.458781,-0.150288,-0.507673,1.215117,2.025793,4.55366,4.250859,6.68802,5.23169,3.169568,2.661833,1.608576,0.483883,-0.390043,0.268644,0
2.068068,1.597283,0.713511,0.59638,5.021013,0.00101,0.368025,1.529891,0.413275,0.123797,-1.649027,-0.784294,2.055973,0.379071,2.230464,2.31285,1.379171,5.729261,-0.411212,4.83603,3.433935,2
3.956922,4.20451,2.442068,2.72041,2.490969,0.242972,1.174402,-0.111835,0.163437,0.898793,-1.173584,-1.356448,-0.377242,0.233744,0.388553,-0.189415,1.34291,4.982687,2.0383,2.489949,5.071414,2
2.994274,2.174825,0.581255,1.247106,4.520643,-0.881481,-0.859955,-0.293508,1.018116,-0.444453,0.150326,0.053484,1.140669,1.127132,2.505732,3.304558,2.820625,4.553251,0.323414,4.44354,2.643017,2
5.173101,3.737114,3.38068,2.353671,2.964447,2.136813,-0.031501,-0.503844,-1.281354,0.772405,1.217989,-0.371557,0.728405,1.488076,0.507243,1.601843,3.681284,3.351856,0.749539,4.246537,3.690175,2
0.851413,0.137975,0.272513,-1.171997,2.413587,-1.755565,-0.82338,-1.100053,1.265954,1.448438,2.0132,3.112737,3.483391,4.665147,6.203282,3.363311,2.831608,2.557384,-0.762877,1.625838,-0.86021,1
6.345852,5.308675,3.058912,4.4613,3.404966,1.868483,0.62269,-0.823481,1.326088,-1.079319,-1.656162,-0.355519,0.313619,0.577282,0.197353,1.140937,0.353548,1.878616,2.47241,4.237306,3.920167,2
1.042549,0.900714,-1.463134,0.170518,6.053318,0.395395,1.78083,1.212461,0.324763,-0.064474,2.095866,-0.923008,2.366984,2.896395,3.037881,5.498498,3.74677,5.544949,-0.614899,4.680758,1.470437,1
3.853238,4.447842,5.662447,1.773496,2.264112,-0.449852,-0.497008,-0.292203,0.557861,0.68419,0.830695,2.182341,1.03077,-0.271256,1.497915,-0.590593,2.434113,1.362441,2.522968,2.577356,4.033132,0
3.209822,4.775549,1.175917,1.30103,1.588252,1.035731,0.614252,-1.409884,-0.181963,0.374905,2.146267,2.302399,3.228869,2.875214,1.820356,0.675065,1.59511,1.724301,1.792641,0.704621,3.842006,0
5.047489,3.25541,3.731189,3.059075,3.189546,0.794306,1.289819,0.191459,-1.259047,-1.052259,0.727135,1.233517,1.173335,0.012264,0.208445,0.201244,1.967702,1.488266,2.561118,2.022146,4.336998,2
2.28692,1.025862,1.233498,1.853508,1.324784,-0.063723,-1.338893,-0.371372,1.141658,1.886106,1.372042,1.178743,0.987435,1.357486,1.616783,2.053719,3.54501,3.220348,1.122596,3.711638,4.093214,0
1.147854,0.075727,-0.398378,-2.922972,3.412126,0.45695,-0.357656,-0.69034,1.750365,0.371005,1.456697,1.073364,2.002788,3.863414,2.414295,4.239325,3.306557,5.326125,1.06682,1.53293,1.479165,1
-0.800372,0.40483,-0.289392,1.600245,2.830701,-0.529253,-0.738273,0.973106,1.461457,0.178828,1.736645,3.983236,5.111122,4.303189,4.232659,2.896684,0.074445,1.395642,-1.978806,-1.707236,0.111486,0
0.73156,1.664279,-0.267144,-2.178399,2.818644,-1.680911,0.047601,-1.595933,1.228865,-0.402034,2.770515,2.482642,2.969189,4.61609,3.848458,3.756561,3.823055,3.671863,1.508139,1.025682,0.549728,1
6.090131,5.976197,1.458532,3.170454,4.014192,1.307371,-1.040414,-1.427004,1.431147,-1.462825,1.187277,0.955471,-1.89095,2.282981,-0.579874,0.148994,2.870111,2.357816,0.742413,4.598123,2.87853,0
0.664861,-1.136953,-0.835828,0.489172,1.32222,-0.379281,-1.68889,-0.681929,2.278873,2.252011,1.555668,3.112648,3.781808,9.021004,5.386292,3.446276,3.656003,1.873079,-2.042095,-0.451327,0.653214,1
0.412622,0.292891,-0.912605,0.455136,4.571203,-0.084366,-0.095478,0.612,0.427169,3.474717,0.26701,0.33945,3.86327,3.125028,3.674696,2.51505,4.789475,5.36305,-0.197119,3.706601,2.592575,1
2.450257,2.076464,2.110637,-0.79506,-0.019922,-2.030084,-0.636902,0.300458,0.026422,1.523656,2.814424,2.732556,3.766204,5.74436,4.27432,3.258685,1.544746,0.633773,2.196427,1.789177,1.465404,0
4.911246,2.865585,0.389156,1.580556,2.067338,-1.695097,0.822967,-0.172583,-1.172254,-0.398752,1.537137,1.269517,2.06686,1.296535,3.279469,2.732961,4.157307,4.427629,1.004745,4.557051,4.331603,2
0.045692,0.053719,0.613496,-0.245521,2.588435,-0.852438,0.058691,-0.669709,-0.084605,0.918264,2.299003,4.052357,4.839278,6.56224,5.375751,5.604148,3.914749,3.596901,-0.64283,-0.387433,0.066983,1
2.148971,0.200439,0.806254,0.376585,4.674443,0.287431,-0.141721,-1.060381,0.441619,1.015259,1.862381,2.555652,3.649913,4.081888,4.902635,5.260567,4.24403,3.253438,0.330972,1.266474,2.58785,1
5.211812,5.137427,2.369275,3.445725,1.198167,-0.07639,-0.530423,0.320868,0.287537,0.932047,-0.261024,0.395427,0.422897,1.221177,-0.579509,1.127658,2.730773,4.945655,1.234255,5.80266,3.317597,2
5.856093,2.859295,4.573949,2.782787,3.608852,-0.320942,1.492333,-1.779721,0.050468,0.518245,0.677622,0.543365,0.649098,-0.409666,-0.542201,-0.622061,0.213764,1.844372,0.686335,3.822737,2.81541,2
4.501727,3.031947,6.955892,2.494845,2.536795,2.47437,0.551773,1.840273,-0.92662,-1.559044,-0.246704,0.424352,1.114712,0.181465,-1.719397,1.400034,2.041855,2.607018,1.11962,1.150705,4.347504,2
2.912108,2.155092,2.586993,2.604304,6.536943,-0.588151,-0.462791,-0.010574,-0.026549,0.982509,0.009347,-1.257945,-0.333222,0.548512,0.935176,1.449797,1.180204,4.865426,0.756715,2.810865,5.202807,2
3.258929,4.179183,3.513456,2.402953,2.645315,0.706886,0.26302,-0.027181,-1.225437,-0.653905,0.75807,0.502148,-0.046599,0.205798,-0.423379,1.091124,-0.985879,0.041035,2.507401,3.031231,4.345576,0
4.293919,2.602349,1.590072,2.458377,4.421236,-0.568275,0.248913,2.194858,-0.373145,-0.445354,0.078318,-0.449003,1.041592,0.230048,1.599271,2.675623,4.014262,1.626866,1.301794,4.208783,4.252504,2
-0.24622,1.758041,2.033294,1.474402,2.543549,0.531813,-0.025305,1.514103,0.788752,2.621311,3.879639,3.55116,2.854693,4.411694,2.639106,1.569049,3.441262,1.136047,0.166394,2.279356,1.402651,0
4.147449,3.424631,2.810173,0.398084,2.184131,-0.212093,-0.822978,-0.315029,-2.363045,-0.311992,1.916032,0.332817,4.059042,-0.235557,1.114182,-0.296849,1.850565,3.29261,1.865966,3.428648,4.89921,0
3.528436,3.001576,1.996731,1.862821,0.474428,-0.540378,0.488562,0.726552,0.189266,1.221121,0.752084,2.202231,2.062692,3.607818,2.556951,1.949229,2.201425,2.387255,1.468906,1.78486,2.964044,0
6.13123,2.816273,2.647803,3.760025,2.172629,0.96574,-1.087436,2.049328,0.015869,-2.113772,-0.08865,1.34246,1.308928,0.593543,-1.592536,-0.190399,1.176884,1.801494,0.515395,2.538463,4.042499,0
0.826083,3.642217,0.78144,1.877184,3.344945,1.538727,0.469783,-0.734263,0.483227,2.217154,1.618767,2.752265,4.394047,4.650824,1.635753,2.074579,2.568715,2.288622,2.62497,0.324244,2.923859,0
2.98344,1.69723,0.098499,-1.497206,3.146087,0.193163,0.255946,1.350477,1.089973,-1.135209,-0.959771,0.130418,1.622651,0.969174,3.496964,4.23614,5.024178,4.736354,-0.699656,3.299323,3.407356,1
0.279498,0.9144,2.356998,0.175439,3.721339,-1.462429,0.19455,-0.368849,-0.314571,1.639647,0.422641,1.175636,2.9188,3.808269,5.222729,3.853875,3.992732,4.623228,-1.285995,1.934044,-0.03838,1
5.521482,3.132809,2.750106,4.561259,2.242748,1.981761,0.929973,-0.247243,1.845654,-0.292854,-0.24983,0.213072,0.602237,-0.127159,1.998205,-0.621781,-0.605674,2.695412,1.034786,2.824298,6.538237,0
1.028602,0.342558,-0.035915,-0.859189,2.65952,-0.96643,0.815125,1.274301,0.066621,-1.264497,1.877541,0.838498,5.452794,4.106996,2.825265,5.330057,5.084436,4.805893,-0.319786,2.26136,1.909513,1
1.056806,0.699707,-1.10162,-0.88616,1.844327,0.247809,0.573527,-1.254488,0.191799,1.726549,4.015008,2.536399,3.432166,3.595412,4.240085,6.53999,3.425993,3.038151,0.23759,1.943998,1.025721,1
1.212534,-0.032978,-0.475717,-0.647551,2.439839,0.861102,-1.267998,1.222612,-0.667317,1.229404,3.11393,0.608798,4.827668,4.477161,4.213593,4.704358,5.246959,1.320413,-0.508663,1.999606,1.06638,1
0.924915,-0.011295,-0.218993,0.164838,1.164614,-0.397131,-1.054015,0.029086,-0.26883,3.294388,2.76202,2.855759,4.137741,6.184852,3.562493,4.033171,2.852999,3.582352,0.486679,0.047278,-1.028638,1
2.361624,1.235512,0.628404,-1.506645,3.640103,0.035686,-1.647166,-0.147415,-1.137289,1.083744,0.829478,1.054466,2.936826,4.958338,4.053619,2.475109,3.507807,4.218277,0.076217,2.32395,1.163792,1
6.201867,3.460516,4.051479,2.103749,3.030332,-0.254753,0.238213,1.649554,2.449655,-1.032456,0.415371,0.762083,0.54181,2.225458,1.794714,3.764772,0.868331,2.584025,2.716963,2.774226,4.238489,0
4.284697,5.190449,4.79195,2.499772,3.696764,0.992787,-0.59613,-0.154064,0.104078,1.046561,-0.879062,0.466398,0.957809,0.059067,0.332972,2.190678,0.190501,2.458753,2.626181,4.219071,7.04774,2
0.987544,2.630096,1.607117,0.141169,2.88885,-0.773275,-0.234392,-0.761824,-0.574789,0.830324,2.655767,3.155978,4.405124,3.442477,2.493568,3.389323,2.25566,1.083128,1.030037,0.030918,1.997355,0
1.9689,-0.033168,-0.190653,1.649779,-0.329874,-0.220792,-0.55967,-0.057414,2.049237,1.108067,1.484974,4.517802,4.593176,4.448989,4.274614,2.625493,2.456309,3.397259,1.066322,1.472671,0.789208,0
1.489365,0.807792,-0.251055,-0.511579,5.064368,1.490407,-1.017599,-0.030826,-1.640257,-1.12728,-0.205875,-1.757803,0.643728,1.531215,2.117418,5.384646,5.493211,6.181951,-0.50605,3.046047,3.686631,2
-0.088716,-0.051548,0.471426,0.639269,2.783309,0.383611,1.111668,0.299557,-1.148412,0.991595,1.905338,4.218662,2.976976,6.299603,3.282614,3.134654,4.46494,4.867733,-2.307313,1.220444,1.178697,1
1.019094,1.611023,-1.016209,-0.197415,3.518685,-1.49025,-1.885851,0.58937,1.25995,2.036803,1.165352,1.872945,0.478394,5.40756,3.516792,3.59843,6.580955,4.06134,-0.235383,1.890262,1.548159,1
5.471594,4.658799,4.492267,2.527716,3.169627,1.431086,-0.975295,0.160277,-2.150021,0.322899,0.197283,-0.159937,1.308432,0.400356,0.453322,-1.447032,0.574844,3.032768,2.32514,3.690269,3.541511,2
4.383529,3.182806,3.777536,2.626846,3.731078,-1.020073,-0.780008,0.031527,0.495368,-0.924286,-1.16036,-0.234548,0.847413,3.355718,2.111616,0.978438,1.678957,2.916152,2.767575,3.884094,4.727181,2
6.711691,5.204324,5.605269,3.417279,4.067276,0.035385,-1.851067,-0.230998,-0.285221,0.831544,-0.929522,-0.323575,-0.188592,-2.023977,2.171291,0.021099,0.079996,1.0637,2.26063,4.951877,6.630202,2
3.91074,3.562851,2.153672,2.768334,3.109078,2.030261,0.508358,-1.474861,0.551694,-0.610934,0.144992,-2.314465,0.598251,1.832764,0.733351,3.601111,0.898953,3.797139,1.848695,4.284248,3.748187,2
4.793896,4.314773,2.369669,2.282761,2.152533,1.028167,0.45687,0.998334,-1.245272,1.542359,1.006405,-0.201602,0.674732,-1.236798,0.005304,0.63841,2.416312,2.186311,2.950988,2.531692,2.806755,2
1.333384,-0.48351,1.119722,0.508534,4.132908,-1.544856,-1.349949,2.55124,0.068978,1.535257,1.212928,0.808954,2.443299,4.82166,3.25917,3.375781,2.806943,4.10843,-1.245558,2.011487,0.625067,1
0.799469,0.675508,-0.368016,-0.288507,1.961848,-0.348484,0.181357,-1.225012,1.318429,1.358957,2.059319,4.292367,5.700953,3.870314,5.579296,5.300704,4.112825,3.091814,0.783572,0.297335,0.175932,1
0.747415,1.666944,-0.80533,0.472233,2.391043,-0.143355,0.216951,0.382181,-0.892042,1.180814,0.159222,1.098948,3.557608,2.168818,3.09974,4.735393,4.832579,4.730195,1.93962,3.812755,1.707601,1
4.342422,3.094717,3.419404,2.807471,6.082975,0.09658,0.339904,0.309568,-0.45893,-0.048982,0.542435,1.477306,-0.330401,0.551513,2.641965,2.580197,1.40768,4.193871,2.82367,4.520709,5.854136,2
1.940603,-0.795559,2.87902,1.99657,1.486167,0.529882,0.591152,-0.051093,0.183413,1.717926,2.600065,2.116287,4.638036,3.815106,2.682652,2.884001,4.812828,3.464348,0.989225,2.958143,0.93518,0
-0.481452,1.170033,0.613996,0.952845,1.03876,-0.911594,-0.073037,1.224618,-0.922815,-1.775857,2.379129,2.647508,4.085846,5.365584,4.01159,4.204605,4.80703,1.665836,1.56694,0.343781,0.828191,0
0.527769,-1.143713,0.27852,-0.372616,3.208262,-1.144915,0.206967,1.779075,0.499666,2.397796,1.366288,3.417396,1.443017,2.259088,3.763347,3.811095,4.249666,4.050184,0.248437,2.887076,0.842463,1
6.975629,2.699422,2.250798,2.411797,4.13713,1.253498,1.388152,-0.800799,0.60538,0.184288,0.926559,0.188925,-0.693386,0.721827,1.38182,0.451821,0.363745,1.914713,-0.70652,5.240434,5.035395,2
3.228851,1.137448,2.490383,2.511848,4.635184,0.921006,-0.593021,-0.968344,0.303726,2.234445,-0.071219,1.963041,2.078216,2.352599,3.090146,0.503335,1.763271,1.899697,0.185112,2.691699,3.924663,0
0.454097,-1.284682,-1.128022,-0.287181,5.723123,0.815604,-0.592777,-1.974787,-2.252824,-1.621583,-1.532067,0.352791,2.750583,1.645523,3.425084,3.083785,4.841432,5.441069,-0.129482,2.83007,2.860511,2
1.387207,-0.685495,-1.286628,0.310413,4.874565,-1.041185,0.254678,-0.961362,0.419202,-0.431813,-1.20384,-0.473491,1.456935,2.543858,1.881918,3.240606,3.764036,5.743818,-0.766426,3.375004,4.664653,2
1.5276,-0.072652,-0.372406,1.527721,0.29165,-0.28946,0.23734,0.074058,1.422882,1.698201,2.787923,3.394673,4.775386,4.735339,4.936288,4.097471,2.074876,0.718098,-0.425937,0.926605,1.418166,1
4.298171,4.723241,2.097235,3.547844,1.645276,1.111408,-0.623911,-0.474453,0.128897,0.817131,0.751424,0.53364,1.241465,1.174275,0.390895,1.95685,0.242624,0.264489,2.111332,3.684171,2.293551,0
5.416216,5.364257,1.431957,3.257751,2.162863,0.867394,0.274096,0.117659,-0.572514,0.473288,-1.37244,0.107286,0.406157,-0.317056,-0.805477,-0.088757,0.574424,0.732082,2.183458,4.47466,4.896362,2
0.652963,0.822657,-2.569837,0.745265,1.516018,-2.232392,0.503399,-0.081404,1.081277,0.795183,0.882205,3.429683,4.055628,4.761304,5.576518,4.668455,2.211809,2.54848,1.722546,2.554802,1.05354,1
2.680408,1.36627,-2.196552,1.600089,4.489917,-0.140184,0.777445,-0.300823,-0.016797,0.300794,0.361135,-0.840635,2.178283,2.222134,1.774456,2.631169,4.042122,3.746385,-0.549017,5.174579,3.352283,2
-3.018218,0.981476,0.282086,1.228128,1.36354,0.796297,-1.277188,-1.19978,-0.653363,1.231156,2.776353,2.988036,4.686509,6.869601,7.347617,3.779434,3.151198,1.99994,2.960383,0.716148,0.187934,1
6.939262,5.915805,3.868847,3.13009,2.33963,2.182575,-0.994935,-0.743303,1.584427,0.004956,2.213868,-0.040333,0.565772,0.73809,0.834881,-0.576175,0.857581,2.307256,3.609897,3.910796,4.279527,0
5.931207,4.797522,1.033493,3.814555,2.553476,-0.76897,0.020733,-0.597218,-1.180646,1.525068,1.667033,-0.491291,0.444565,-0.672273,1.194,1.737818,1.222693,1.143433,1.780254,3.046199,4.294197,0
2.46989,1.443441,-0.748632,0.445718,3.813218,0.704126,0.168546,-0.920771,-0.431853,-2.212325,0.024173,-0.030985,0.717941,1.72004,1.658317,3.58814,1.924264,4.92982,1.390312,3.867336,2.662049,2
-0.180543,1.225675,-0.561651,2.462172,1.242975,-1.16705,2.519723,0.430631,1.719423,2.491763,5.013667,4.089128,4.848353,4.370727,4.193696,3.344289,2.999389,2.161579,0.585951,0.066652,1.41694,0
1.972945,2.559077,0.165822,0.152478,4.948905,0.241894,1.38845,-0.291874,-1.159726,-0.319511,0.183196,0.042553,0.826971,2.408594,0.768861,3.116103,5.219868,4.713216,0.053608,2.352873,3.136056,2
2.160398,2.397604,2.54368,3.862619,2.528975,-0.729605,-0.171386,0.09009,-1.078798,0.775038,2.235848,2.700706,1.584698,2.904044,2.994371,1.374108,1.348101,1.34365,-0.812826,-0.594203,2.555692,0
4.264016,2.016663,3.20305,1.806338,4.401638,1.613206,0.843101,1.491809,-0.45901,0.193718,0.252958,-1.319301,-1.336521,1.58296,2.445012,1.169511,2.902339,4.197581,0.953904,3.779103,4.65303,2
5.763161,4.116528,3.128858,1.622853,3.088073,0.46348,-0.924153,-1.765119,1.348823,0.703419,-1.209319,0.950956,1.378212,1.187109,2.215658,1.577378,1.535595,0.513164,1.50677,2.819978,2.927824,0
-0.025988,0.563837,0.328195,0.251495,2.329223,-0.931433,-0.298143,0.266831,0.206078,2.045124,0.497136,1.051062,4.566403,5.420511,2.477063,3.500013,3.159359,3.936853,0.498299,1.246951,-0.417555,1
2.543671,4.395707,4.571506,3.654904,4.64431,0.749624,1.037505,1.554291,0.561247,1.284313,-0.372881,-0.816406,1.563353,-2.152249,2.035404,1.825801,2.638734,2.974593,1.722899,5.416306,3.860767,2
-0.334768,-0.732923,0.792535,0.786841,1.403508,-0.117939,-1.372689,0.536421,0.764655,3.119372,2.732108,0.715852,3.864973,3.440574,3.264995,3.990151,5.714857,2.563224,-2.252638,-0.261973,1.671563,1
3.670741,0.557977,2.875424,-0.121769,2.269993,0.310828,-1.836135,0.493031,1.401986,-0.13241,2.188769,2.017941,2.914213,4.016841,3.529365,3.366745,5.022433,-0.2188,-0.952947,0.289349,1.914142,0
1.765785,2.049246,0.753355,0.922552,-0.261409,-0.9202,1.1394,1.431865,0.740243,2.71329,2.038922,3.485792,3.605757,2.469591,2.926887,3.002105,2.060676,3.148402,1.470159,1.039414,2.229804,0
2.014344,0.280251,-0.58028,-2.387522,4.978106,1.664497,-1.039337,0.474683,0.384668,-1.541196,-2.544671,1.038674,0.301167,-0.016004,3.02909,4.136104,5.941304,4.72795,-0.701322,4.544151,1.98687,1
2.214024,0.735594,0.62219,2.057706,2.278266,1.297785,0.826895,-2.076194,-0.752212,1.921557,3.366475,3.838514,3.490683,5.604027,5.281392,3.928901,1.922077,1.845452,-0.503823,2.943322,0.358039,0
